Ano,PAIS,TIPO_PLANTACAO,TEMPERATURA_MEDIA_C,TOTAL_PRECIPITACAO_MM,EMISSAO_CO2_MT,EVENTOS_TEMPERATURA_EXTREMA,ACESSO_IRRIGACAO_%,SAUDE_DO_SOLO,ESTRATEGIA_ADAPTACAO,IMPACTO_ECONOMICO_USD,NIVEL_CO2
2001,India,Corn,1.55,447.06,15.22,8,14.54,83.25,Water Management,808.13,MEDIO
2024,China,Corn,3.23,2913.57,29.82,8,11.05,54.02,Crop Rotation,616.22,MEDIO
2001,France,Wheat,21.11,1301.74,25.75,5,84.42,67.78,Water Management,796.96,MEDIO
2001,Canada,Coffee,27.85,1154.36,13.91,5,94.06,91.39,No Adaptation,790.32,MEDIO
1998,India,Sugarcane,2.19,1627.48,11.81,9,95.75,49.61,Crop Rotation,401.72,MEDIO
2019,USA,Coffee,17.19,975.13,10.73,5,52.45,97.32,Water Management,353.16,MEDIO
1997,Argentina,Fruits,23.46,1816.41,27.7,2,20.22,79.09,Organic Farming,480.61,MEDIO
2021,Australia,Rice,25.63,786.17,7.77,4,66.53,63.16,Drought-resistant Crops,1367.97,BAIXO
2012,India,Wheat,32.08,1233.1,6.1,1,45.87,42.31,Water Management,761.89,BAIXO
2018,Nigeria,Barley,21.23,475.32,25.74,1,25.74,84.21,No Adaptation,167.21,MEDIO
2006,Nigeria,Sugarcane,-3.57,1402.97,5.49,10,19.17,44.12,Water Management,1100.44,BAIXO
1997,France,Coffee,34.36,518.11,13.11,3,70.38,80.47,Water Management,820.55,MEDIO
1993,Russia,Vegetables,19.09,1505.86,14.22,3,12.49,54.92,Drought-resistant Crops,1201.8,MEDIO
2003,USA,Barley,14.7,2272.28,11.45,9,57.37,77.32,Drought-resistant Crops,1126.27,MEDIO
1999,Nigeria,Soybeans,12.16,328.52,20.15,9,47.13,36.32,Drought-resistant Crops,894.31,MEDIO
1990,France,Soybeans,15.23,1468.76,5.41,5,62.01,76.44,Drought-resistant Crops,1524.34,BAIXO
2018,Brazil,Barley,20.83,2639.04,6.01,10,52.71,88.14,Drought-resistant Crops,521.59,BAIXO
2017,Nigeria,Coffee,21.95,2480.33,11.71,10,84.04,78.53,Crop Rotation,571.98,MEDIO
1997,Brazil,Rice,17.45,1634.32,29.55,5,29.84,30.18,No Adaptation,1323.81,MEDIO
2015,Russia,Cotton,19.2,1086.11,23.38,4,47.81,82.85,Organic Farming,1805.57,MEDIO
2000,Australia,Rice,30.08,1641.99,15.83,2,94.75,73.56,Organic Farming,345.85,MEDIO
2016,India,Soybeans,14.0,1240.49,29.18,9,29.32,46.32,No Adaptation,1745.39,MEDIO
1996,Argentina,Coffee,21.59,666.95,28.44,10,41.15,35.89,Drought-resistant Crops,384.91,MEDIO
2010,Australia,Coffee,20.85,2294.81,8.66,3,39.88,59.92,Drought-resistant Crops,1222.94,BAIXO
2002,France,Vegetables,20.22,227.39,16.61,5,34.96,72.74,Water Management,317.95,MEDIO
1996,USA,Soybeans,27.73,1673.81,26.56,1,88.61,96.4,No Adaptation,1492.19,MEDIO
2021,Canada,Fruits,-0.57,2124.21,7.63,4,32.79,88.57,No Adaptation,432.78,BAIXO
2011,Brazil,Corn,15.75,1433.31,11.91,6,79.2,55.03,Organic Farming,933.72,MEDIO
1999,Argentina,Fruits,18.62,576.51,7.29,3,33.33,65.14,Organic Farming,1100.96,BAIXO
1997,Australia,Wheat,31.67,2364.58,13.16,4,72.38,94.46,Drought-resistant Crops,1244.49,MEDIO
1995,Canada,Cotton,16.52,2025.11,19.6,10,35.12,85.71,No Adaptation,829.0,MEDIO
2018,Canada,Fruits,31.98,609.15,11.39,0,77.23,40.44,Drought-resistant Crops,928.74,MEDIO
2002,Canada,Soybeans,1.92,541.99,1.31,10,15.47,51.13,No Adaptation,251.0,BAIXO
2024,Canada,Barley,4.99,2697.15,28.86,10,41.07,65.11,No Adaptation,657.71,MEDIO
2004,China,Rice,-0.5,2892.43,18.33,7,34.21,77.07,Drought-resistant Crops,776.0,MEDIO
1999,China,Vegetables,5.46,751.6,21.25,2,36.9,70.14,Organic Farming,140.36,MEDIO
2015,Brazil,Sugarcane,14.69,804.11,23.52,1,75.67,49.8,No Adaptation,1581.37,MEDIO
2008,Brazil,Fruits,5.64,2780.22,20.22,5,81.71,39.42,Drought-resistant Crops,205.93,MEDIO
2005,Brazil,Cotton,33.17,1910.34,14.43,5,97.01,38.04,Crop Rotation,177.43,MEDIO
1998,Argentina,Soybeans,0.15,1838.65,17.36,8,11.62,89.48,Crop Rotation,687.85,MEDIO
2020,Australia,Sugarcane,17.77,1743.11,13.69,2,23.95,42.34,Water Management,440.49,MEDIO
2019,Russia,Vegetables,11.53,2654.03,3.98,9,59.71,36.95,Organic Farming,1018.44,BAIXO
1994,Russia,Cotton,19.82,2369.04,17.3,7,60.14,65.87,Drought-resistant Crops,1438.48,MEDIO
2019,Argentina,Rice,2.33,839.77,25.67,5,18.4,82.21,Organic Farming,524.89,MEDIO
1991,Brazil,Cotton,29.06,566.0,4.34,4,98.36,44.66,No Adaptation,1067.25,BAIXO
2024,USA,Wheat,12.18,1647.58,19.1,8,36.61,52.18,Water Management,925.79,MEDIO
1998,Brazil,Rice,28.86,1970.45,13.89,2,41.49,55.36,Drought-resistant Crops,763.3,MEDIO
2022,China,Barley,6.49,2719.06,23.76,10,40.98,76.68,Organic Farming,118.24,MEDIO
2015,Argentina,Rice,4.45,900.63,18.26,2,18.34,58.2,Organic Farming,351.14,MEDIO
2007,Brazil,Soybeans,10.27,2913.02,29.03,1,80.98,90.27,No Adaptation,476.68,MEDIO
2002,China,Sugarcane,8.88,947.14,20.78,2,96.9,54.44,Crop Rotation,600.91,MEDIO
2007,India,Vegetables,27.45,784.04,5.55,6,89.47,33.12,Water Management,308.77,BAIXO
1992,Canada,Sugarcane,10.05,1945.3,14.37,6,52.24,69.99,Crop Rotation,1307.17,MEDIO
2016,India,Cotton,-2.28,2300.89,15.29,7,28.39,63.31,Organic Farming,725.01,MEDIO
2013,India,Cotton,9.95,1210.23,1.43,4,45.61,69.29,Crop Rotation,686.14,BAIXO
2013,Canada,Cotton,32.58,2162.09,6.84,5,63.51,97.57,Drought-resistant Crops,1713.71,BAIXO
2016,Argentina,Coffee,20.28,571.36,28.17,8,63.71,30.48,Water Management,575.19,MEDIO
2008,France,Soybeans,11.3,2304.13,24.41,8,58.59,91.66,Drought-resistant Crops,748.93,MEDIO
1992,France,Coffee,-2.68,996.46,28.51,10,13.14,72.99,Crop Rotation,821.16,MEDIO
1998,India,Sugarcane,16.81,689.7,8.01,10,40.5,97.76,No Adaptation,1036.85,BAIXO
